idx,question,gold,retrieved,num_retrieved_relevant,hit@k,precision@k,recall@k,reciprocal_rank
0,How are innovative business models and national policy support helping to overcome the high upfront costs that have traditionally hindered the adoption of geothermal heating?,"['47488', '47487']","['93676', '93676', '47667', '47667', '79320', '79320', '79300', '79300', '47863', '47863']",0,0.0,0.0,0.0,0.0
1,"Compare the scale, primary purpose, and funding mechanisms of the large-scale geothermal project in Kosice, Slovakia, with the distributed, urban approach of Diverso Energy in North America.","['47488', '47487']","['47488', '47488', '47132', '47132', '47816', '47816', '47302', '47302', '47830', '47830']",2,1.0,0.2,1.0,1.0
2,"What role do government policies play in catalyzing the geothermal energy market, according to projects in both Slovakia and North America?","['47488', '47487']","['47667', '47667', '43366', '43366', '47302', '47302', '133595', '133595', '47816', '47816']",0,0.0,0.0,0.0,0.0
3,"What were the key findings from BlueWave's agrivoltaics project in Maine regarding construction techniques and bifacial panels, and how do these inform future solar farm designs?",['103176'],"['66162', '66162', '103195', '103195', '102355', '102355', '65013', '65013', '103176', '103176']",2,1.0,0.2,2.0,0.1111111111111111
4,How does the agrivoltaics project in Maine demonstrate the importance of collaboration between different stakeholders in the renewable energy sector?,['103176'],"['99830', '99830', '100656', '100656', '93934', '93934', '66284', '66284', '63580', '63580']",0,0.0,0.0,0.0,0.0
5,"Based on the Recurrent Energy project in Oklahoma and the trends in US solar shipments, what is the current state and trajectory of utility-scale solar power in the United States?","['103175', '95120']","['102118', '102118', '105295', '105295', '103588', '103588', '104058', '104058', '94188', '94188']",0,0.0,0.0,0.0,0.0
6,"What are the advantages of floating solar technology as demonstrated by projects in the Philippines and Germany, and what challenges does the industry face?","['95115', '103179']","['23159', '23159', '21519', '21519', '94866', '94866', '102879', '102879', '99910', '99910']",0,0.0,0.0,0.0,0.0
7,"How are software and new modeling approaches, as discussed by FTC Solar and Oak Ridge National Lab, improving the performance and reliability of solar energy and the broader grid?","['63661', '41548']","['23174', '23174', '102742', '102742', '92142', '92142', '102124', '102124', '92432', '92432']",0,0.0,0.0,0.0,0.0
8,What are the key differences between the long-duration energy storage technologies being piloted by CMBlu Energy and those being researched at the Grid Storage Launchpad (GSL)?,"['63662', '95125']","['95125', '95125', '91099', '91099', '98825', '98825', '100724', '100724', '102638', '102638']",2,1.0,0.2,1.0,1.0
9,What is the significance of the Grid Storage Launchpad (GSL) and how will its work on digital twins and safety accelerate the deployment of grid-scale batteries?,['95125'],"['95125', '95125', '91815', '91815', '66075', '66075', '89306', '89306', '90175', '90175']",2,1.0,0.2,2.0,1.0
10,"How is the U.S. government supporting a transition to electric vehicles, specifically focusing on both manufacturing and consumer adoption?","['95122', '95114']","['93640', '93640', '93611', '93611', '94349', '94349', '94397', '94397', '42083', '42083']",0,0.0,0.0,0.0,0.0
